file_name	val_mean_us	aro_mean_us	val_sd_us	aro_sd_us	val_n_us	aro_n_us	val_cilo_us	val_ciup_us	aro_cilo_us	aro_ciup_us	val_mean_ch	aro_mean_ch	val_sd_ch	aro_sd_ch	val_n_ch	aro_n_ch	val_cilo_ch	val_ciup_ch	aro_cilo_ch	aro_ciup_ch	val_diff	aro_diff	val_bf_10	val_bf_01	aro_bf_10	aro_bf_01	val_resid	aro_resid	black_px	white_px	keywords	source
affection3.png	7.798165138	5.237113402	1.176780106	2.13976827	109	97	7.577247617	5.662936257	7.577247617	5.662936257	7.16	5.981651376	1.186796043	1.753206857	100	109	6.92739225	6.31078178	6.92739225	6.31078178	0.638165138	0.744537974	30.88483261	0.032378353	2.826758811	0.353762053	0.11131602	-0.066287553	22374	67626	courting, children, first love, innocence, virginity, childish romance, tension, couple, boy, girl	Pixabay/Svgsilh
agreement.png	7.304347826	4.863157895	1.323823387	1.92193678	92	95	7.033837264	5.249636437	7.033837264	5.249636437	6.840707965	5.596491228	1.326692798	1.246015229	113	114	6.59609513	5.825219061	6.59609513	5.825219061	0.463639861	0.733333333	1.647513545	0.606975283	4.540593085	0.220235547	0.002227424	-0.26503454	45754	44246	friendship, high-five, joy, high-five, friends, high five, deal, acceptance, deal, happy, business, friend	Pikrepo
aircraft.png	6.275229358	5.371134021	1.48991399	1.938210018	109	97	5.995527056	5.756845938	5.995527056	5.756845938	5.484848485	5.542056075	1.072510276	1.760576523	99	107	5.273581344	5.875644604	5.273581344	5.875644604	0.790380873	0.170922054	110.4630772	0.009052799	0.179351709	5.575636866	0.606842397	0.267704019	19635	70365	airplane, flying, old plane, airplane, plane	Pixabay
aircraft2.png	5.787234043	5.15625	1.30237451	1.876885017	94	96	5.523952719	5.5316983	5.523952719	5.5316983	5.363636364	5.657657658	1.625401335	1.620861138	99	111	5.043458645	5.959188965	5.043458645	5.959188965	0.423597679	0.501407658	0.949080115	1.05365183	0.630894223	1.585051762	0.264900783	0.000233088	10900	79100	aircraft, aeroplane, old plane, turning, airplane, plane	Pixabay
airplane.png	5.802083333	5.052631579	1.476979789	1.909485957	96	95	5.50663127	5.436606409	5.50663127	5.436606409	5.71	5.805084746	1.335566312	1.918236702	100	118	5.448233813	6.15119087	5.448233813	6.15119087	0.092083333	0.752453167	0.191716109	5.216045786	4.806038068	0.208071594	-0.137598378	-0.170449597	8459	81541	flying, plane, flight, travel, airplane	Pixabay
airplane2.png	5.565217391	5.494736842	1.207161304	1.779754252	92	95	5.318545603	5.852624175	5.318545603	5.852624175	5.669642857	6.147826087	1.454340461	1.676689921	112	115	5.400300184	6.454270653	5.400300184	6.454270653	0.104425466	0.653089245	0.180513089	5.539764491	2.802187119	0.356864106	-0.325836262	0.115743371	11488	78512	aviation, air, flight, take-off, airplane	Pixabay
airplane3.png	5.95412844	5.175257732	1.336006495	1.914910296	109	97	5.70331927	5.556332907	5.70331927	5.556332907	5.85	5.700934579	1.122542209	2.019784003	100	107	5.62998577	6.083636931	5.62998577	6.083636931	0.10412844	0.525676847	0.184590208	5.41740546	0.589859031	1.695320319	-0.154245297	-0.000445758	16450	73550	flying, takeoff, flight, turning, airplane	Pixabay
ambulance.png	4.925531915	3.632653061	1.10948367	1.933895993	94	98	4.70124441	4.015537897	4.70124441	4.015537897	5.072164948	4.495495495	1.332661987	1.57753475	97	111	4.806959627	4.788966728	4.806959627	4.788966728	0.146633034	0.862842434	0.22838581	4.378555747	21.11392338	0.047362112	-0.245594892	-0.994698794	26110	63890	emergency, siren, van, emergency, car, van, vehicle	Pixabay
amusementpark.png	5.031578947	5.210526316	2.044466489	2.113254709	95	95	4.620461143	5.63547661	4.620461143	5.63547661	5.62	5.550847458	1.361668614	1.856370218	100	118	5.353117856	5.885791054	5.353117856	5.885791054	0.588421053	0.340321142	1.303063495	0.767422312	0.262506525	3.809429123	-0.799657891	0.103097133	23580	66420	joy, fun, pleasure, roller coaster, theme park, rollercoaster, fun, excitement	Pixabay
analyse.png	6.282608696	3.894736842	1.295182001	1.678865398	92	95	6.017950725	4.232336631	6.017950725	4.232336631	5.803571429	5.426086957	1.221719994	1.463358727	112	115	5.577309877	5.693541496	5.577309877	5.693541496	0.479037267	1.531350114	2.799026732	0.357267042	5166.160516	0.000193567	0.230178742	-1.155939058	27769	62231	detective, scientist, examination, magnifying glass, searching with a magnifying glass, woman, magnifying glass	Pixabay
